FID,nazev,diverzita,HnizdoZem,HnizdoKer,HnizdoStro,std,d00,d01,d02,REKULT,RN,PSRI,SLO,CUR,TWI,X,Y
114,D25,11,5,4,3,3.933,21.5,2.9,21.7,Agri,R,0.043771198,4.3,0.07,4.96,-778317.406807,-984084.438840
115,D26,12,4,4,6,3.753,18.4,4.3,49.3,Forest,R,0.028665344,7.13,-0.11,4.55,-778205.841717,-984362.922647
116,D27,12,3,5,6,2.752,24.9,14.9,19.6,Forest,R,0.061926847,8.4,-0.07,4.26,-778094.276628,-984641.406454
117,D28,13,3,4,7,3.327,10.4,6.9,33.1,Forest,R,0.036867164,5.55,-0.02,4.86,-777815.792821,-984529.841364
118,D29,11,6,2,3,3.769,17.6,14.3,26.6,Forest,R,0.04099984,11.88,0.25,4.12,-777927.357910,-984251.357557
119,D30,11,4,5,4,4.851,6.4,8.4,48.6,Forest,R,0.028684439,9.45,-0.2,4.42,-778038.923000,-983972.873750
120,E01,8,2,6,2,2.146,37.3,35.7,8.2,None,N,0.115246056,9.29,-0.1,4.55,-775475.499441,-985531.353670
121,E02,14,3,7,4,2.877,20.1,16.4,21,None,N,0.014265989,9.45,0.07,4.21,-775753.983248,-985642.918760
122,E03,13,2,5,6,6.478,2,2.9,56.5,None,N,0.036372517,7.65,0,4.52,-776032.467055,-985754.483849
123,E04,10,3,5,3,4.935,2.7,2.5,40.6,None,N,0.050356891,8.83,-0.19,4.31,-776310.950862,-985866.048938
124,E05,9,3,3,4,1.945,4.1,0.1,0.4,Other,R,0.138423151,3.42,0.04,5.35,-776589.434669,-985977.614028
125,E06,13,2,4,9,6.945,2.6,5.4,82.7,None,N,0.02286849,7.32,-0.02,4.69,-776700.999759,-985699.130221
126,E07,17,5,3,10,5.865,2.1,4.1,72.2,None,N,0.037186357,18.87,0.18,3.68,-776979.483566,-985810.695310
127,E08,10,1,2,8,5.01,1.3,1.8,89.9,None,N,0.010543771,12.42,-0.13,4.35,-777091.048656,-985532.211503
128,E09,13,3,5,8,6.176,2.9,3,86.3,None,N,0.025054359,11.54,0.01,4.17,-776812.564848,-985420.646414
129,E10,12,2,2,9,5.16,1.6,1.1,87.5,None,N,0.021892986,11.44,0.22,4.16,-776924.129938,-985142.162607
130,E11,10,2,3,6,4.887,3.1,3.8,84.7,None,N,0.01168746,13.54,0.22,3.85,-777202.613745,-985253.727696
131,E12,11,2,4,7,4.395,5.9,3.7,70.5,None,N,0.017080816,6.86,-0.12,4.81,-777481.097552,-985365.292786
132,E13,12,6,3,4,2.356,7.5,8.3,63,Forest,R,0.022925569,5.34,0.07,4.85,-777759.581359,-985476.857875
133,E14,10,3,5,4,3.014,8.4,8.1,63,Forest,R,0.019823087,8.89,-0.04,4.43,-777871.146449,-985198.374068
134,E15,7,4,3,0,2.273,5.7,4,6.3,Other,R,0.085937311,5.16,0.01,4.91,-778149.630256,-985309.939158
135,E16,3,2,1,1,1.932,5.4,2,1.8,Other,R,0.020773914,4.26,0.05,5.02,-778428.114063,-985421.504247
136,E17,2,2,0,0,0,8.3,0,0,Other,R,0.016928819,6.45,0,4.92,-778539.679152,-985143.020440
137,E18,9,5,3,3,2.149,7.9,7.1,23.1,Other,R,0.063840603,7.73,-0.01,4.36,-778651.244242,-984864.536633
138,E19,9,4,2,4,3.094,5.6,9.9,38,Forest,R,0.061226517,6.9,0.05,4.55,-778372.760435,-984752.971543
139,E20,11,6,4,2,1.934,7.3,1.5,4,Other,R,0.046185291,8.4,-0.01,4.37,-778261.195345,-985031.455350
140,E21,11,3,5,4,2.615,19.2,11.6,33.7,Forest,R,0.039803825,5.87,0.04,4.76,-777982.711538,-984919.890261
141,E22,15,3,5,9,4.788,6.5,5,67.6,Forest,R,0.028697966,11,-0.13,4.03,-777704.227731,-984808.325171
142,E23,9,3,3,4,5.497,2.5,6.1,84.5,Forest,R,0.01392007,9.97,0.04,4.13,-777592.662642,-985086.808979
143,E24,10,4,3,5,4.584,4.9,8.4,73.4,None,N,0.010866043,15,0.19,3.78,-777314.178835,-984975.243889
144,E25,9,6,3,1,1.387,6.3,0.1,0,None,N,0.118051328,3.96,0.14,5.18,-777425.743924,-984696.760082
145,E26,8,2,3,4,4.822,23.2,2.2,15.3,None,N,0.054884319,7.09,0.03,4.5,-777147.260117,-984585.194993
146,E27,11,3,3,6,5.188,5.3,6.1,69.1,None,N,0.022329305,16.39,-0.06,3.76,-777035.695028,-984863.678800
147,E28,14,3,5,8,6.129,6.5,9.9,60.6,None,N,0.006765781,10.89,0.08,4.17,-776757.211220,-984752.113710
148,E29,14,3,5,7,3.902,11.5,4.9,57.6,None,N,0.012678083,13.45,-0.18,3.95,-776868.776310,-984473.629903
149,F01,11,4,5,5,0.108,29.7,17.1,0,None,N,0.115926647,6.47,-0.03,4.63,-775363.934352,-985809.837477
150,F02,9,2,6,2,3.377,7.1,10.2,31.4,None,N,0.046666523,14.01,-0.05,4.02,-775642.418159,-985921.402567
151,F03,3,2,1,0,0.106,3.6,0,0,Forest,R,0.084179011,4.03,0.03,5.03,-775920.901966,-986032.967656
152,F04,4,3,1,1,2.636,4.7,0,0.2,Agri,R,0.077331351,2.96,-0.12,5.6,-776199.385773,-986144.532745
153,F05,4,4,0,0,0.388,4.3,0.2,0,Other,R,0.045953234,3.8,0.05,5.3,-776477.869580,-986256.097835
154,F06,3,3,0,0,2.567,1.5,0.1,0.3,Other,R,0.080934666,4.28,-0.05,5.3,-776756.353387,-986367.662924
155,F07,4,2,1,1,2.589,2.5,0.2,2,Other,R,0.143394283,2.94,-0.14,5.62,-776866.688633,-986092.588240
156,F08,12,10,1,1,2.321,10.3,3.6,14,Sukcess,R,0.127177365,9.33,0.17,4.32,-777146.402284,-986200.744207
157,F09,10,4,4,4,2.285,8.9,3.2,7.2,Other,R,0.137905605,5.93,0,4.81,-777257.967373,-985922.260400
158,F10,4,2,1,2,2.572,18.7,0,0.3,None,N,0.073292534,5.38,0.04,4.79,-777369.532463,-985643.776593
159,F11,3,3,0,0,2.623,4.4,0.1,0.3,Other,R,0.129327714,2.43,-0.02,5.67,-777648.016270,-985755.341682
160,F12,3,2,0,1,0,2.9,0,0,Other,R,0.09861178,1.18,0,6.17,-777926.500077,-985866.906772
161,F13,4,3,0,1,2.443,6,1.2,2.2,Other,R,0.126569348,7.12,-0.01,4.69,-778038.065166,-985588.422965
162,F14,6,3,1,2,2.122,6.2,3.3,12.3,Other,R,-0.01426993,6.7,0.11,5.07,-778316.548973,-985699.988054
163,F15,5,2,3,0,1.776,2.3,1.7,3,Other,R,0.032983254,9.19,0.13,4.25,-778595.032781,-985811.553144
164,F16,4,3,1,1,1.596,1.7,0.8,1.6,Other,R,0.077194001,7.75,-0.16,4.64,-778483.467691,-986090.036951
165,F17,1,1,0,0,0,3.1,0,0,Other,R,0.075814264,3.17,0.06,5.46,-778204.983884,-985978.471861
166,F18,6,3,3,0,2.229,4.7,1,4.1,Other,R,0.117647924,4.58,-0.07,5.11,-778093.418794,-986256.955668
167,F19,11,4,4,4,3.576,2.7,8.8,29.4,Forest,R,0.073046358,7.5,0.19,4.44,-778371.902602,-986368.520758
168,F20,2,2,0,0,0,0.5,0,0,Other,R,0.036415389,5.49,0.25,4.98,-778260.337512,-986647.004565
169,F21,3,2,0,0,0.343,1.6,0,0,Other,R,0.054095306,2.2,0.03,5.85,-777981.853705,-986535.439475
170,F22,3,1,0,0,0.108,14.9,0,0,Other,R,0.033120336,5.67,-0.11,5.01,-777703.369898,-986423.874386
171,F23,3,3,0,0,2.394,4.7,0,0.1,Other,R,0.108111512,3.07,-0.06,5.49,-777814.934987,-986145.390579
172,F24,3,3,0,0,2.802,4.7,1.4,3.9,Other,R,0.086274787,3.41,-0.02,5.4,-777536.451180,-986033.825489
173,F25,1,1,0,0,2.335,8.7,1.1,6.2,Other,R,0.085121483,4.62,0.04,4.86,-777424.886091,-986312.309296
174,F26,11,9,1,0,2.684,5,2.5,18.2,Sukcess,R,0.164024857,5.83,-0.05,4.46,-777313.321001,-986590.793104
175,F27,1,1,0,0,0,4.3,0,0,Other,R,0.092293489,2.72,0.01,5.55,-777591.804808,-986702.358193
176,F28,3,2,0,0,0.979,1.2,0,0,Other,R,0.15606982,5.01,0.1,5.16,-777870.288615,-986813.923283
177,F29,4,3,1,0,2.114,1.5,0.1,0.9,Other,R,0.139961262,7.54,0.12,4.55,-778148.772422,-986925.488372
178,F30,6,3,2,1,2.514,2.8,0.1,1,Other,R,0.09662017,2.22,-0.04,5.75,-778037.207333,-987203.972179
179,G01,10,7,2,1,2.371,5.7,4.3,8.9,Other,R,0.096511946,4.57,0.06,5.05,-775252.369262,-986088.321284
180,G02,3,1,1,1,0.344,9.8,0.1,0,Forest,R,0.073814799,3.17,0.02,5.25,-775530.853069,-986199.886374
181,G03,2,2,0,0,0,1.5,0,0,Agri,R,0.062998975,1.06,0,5.76,-775809.336876,-986311.451463
182,G04,2,2,0,0,0.213,1.4,0.1,0,Forest,R,0.079764311,6.63,0.2,4.74,-776087.820684,-986423.016553
183,G05,7,7,0,0,0.592,3.2,0.2,0,Other,R,0.081867642,3.06,-0.02,5.62,-776366.304491,-986534.581642
184,G06,5,5,0,0,2.31,1.7,0.2,0.1,Other,R,0.09849909,3.26,-0.04,5.5,-776644.788298,-986646.146732
185,G07,2,2,0,0,2.614,3.9,0,0.4,Other,R,0.04654164,2.1,0.07,5.62,-776923.272105,-986757.711821
186,G08,4,2,2,0,2.521,9.6,3.4,49.7,Sukcess,R,0.080796737,7.77,0.08,4.11,-777034.837194,-986479.228014
187,G09,1,1,0,0,0,9.5,0,0,Other,R,0.123305447,6.76,0.07,4.96,-777201.755912,-986869.276911
188,G10,2,2,0,0,0.141,19.1,0,0,Other,R,0.162639075,9.19,-0.18,4.68,-777480.239719,-986980.842000
189,G11,2,2,0,0,0.112,1.4,0,0,Forest,R,0.116877918,11.44,0.08,4.07,-777758.723526,-987092.407089
190,G12,2,2,0,0,0,2.4,0,0,Forest,R,0.076140572,8.5,-0.07,4.48,-777647.158437,-987370.890897
191,G13,3,3,0,0,1.258,4,0,0.1,Forest,R,0.092109467,5.63,0.12,4.98,-777925.642244,-987482.455986
192,G14,3,2,0,1,0,6.7,0,0,Other,R,0.092704522,9.13,-0.21,4.61,-777814.077154,-987760.939793
193,G15,4,4,0,0,0.536,5.3,0.2,0,Other,R,0.11943872,8.9,-0.01,4.61,-777535.593347,-987649.374704
194,G16,4,4,0,0,2.738,16.1,0.1,0.7,Forest,R,0.07692698,7.91,0.2,4.45,-777257.109540,-987537.809614
195,G17,2,2,0,0,1.216,7,0,0,Other,R,0.071997997,4.47,-0.21,5.44,-777368.674629,-987259.325807
196,G18,4,4,0,0,0.098,8.3,0,0,Forest,R,0.078850739,7.91,0.13,4.59,-777090.190822,-987147.760718
197,G19,6,5,0,1,3.184,2.1,0,0,Forest,R,0.065854313,9.54,0.15,4.29,-776978.625733,-987426.244525
198,G20,7,5,1,1,2.649,13.1,2.8,2.9,Sukcess,R,0.15164918,13.83,-0.15,3.33,-776867.060643,-987704.728332
199,G21,8,7,0,0,2.351,2.8,0,0,Other,R,0.09539568,3.92,0.06,5.24,-776588.576836,-987593.163242
200,G22,6,5,2,0,3.534,5.4,0.1,0.3,Forest,R,0.070191506,6.5,-0.04,4.85,-776310.093029,-987481.598153
201,G23,2,2,0,0,0.082,13.9,0,0,Agri,R,0.039240477,3.09,-0.1,5.41,-776198.527940,-987760.081960
202,G24,3,3,0,0,0.569,28.3,0,0,Agri,R,0.005945592,1.23,0.01,5.78,-776086.962850,-988038.565767
203,G25,1,1,0,0,2.437,21.8,0,0.1,Forest,R,0.017379054,3.21,0.08,5.22,-775975.397761,-988317.049574
204,G26,4,1,3,0,2.222,7.4,0.2,1.1,Agri,R,0.023983629,4.48,0.1,5,-776253.881568,-988428.614664
205,G27,6,3,2,1,1.461,10,8.8,6.2,Other,R,0.040166117,7.81,-0.05,4.58,-776532.365375,-988540.179753
206,G28,10,2,4,4,5.824,10.6,4.8,59.9,None,N,0.015208017,10.57,0.06,4.29,-776420.800285,-988818.663560
207,H01,13,9,2,3,1.017,7.3,2.9,1.3,Forest,R,0.105022394,4.41,-0.06,5.74,-775140.804173,-986366.805091
208,H02,3,3,1,0,0.674,19.5,2.8,0.3,Agri,R,0.078239031,2.44,0,5.52,-775419.287980,-986478.370181
209,H03,5,5,0,0,0.449,4.7,0.1,0,Agri,R,0.084388324,1.77,-0.02,5.64,-775697.771787,-986589.935270
210,H04,6,5,1,0,0.271,1.8,0,0,Agri,R,0.057136134,1.38,-0.01,5.56,-775976.255594,-986701.500360
211,H05,3,3,1,0,0.068,4.7,0,0,Other,R,0.107346027,6.88,0.23,4.72,-776254.739401,-986813.065449
212,H06,6,6,0,0,1.671,17.7,1.5,2.3,Other,R,0.118594216,7.17,-0.01,4.83,-776533.223208,-986924.630539
213,H07,10,7,0,2,1.275,10.5,0.4,0.3,Other,R,0.170460183,7.23,0.02,4.45,-776811.707015,-987036.195628
214,H08,9,8,0,0,0.142,4.1,0.1,0,Other,R,0.18452807,5.84,-0.15,5.41,-776700.141926,-987314.679435
215,H09,7,7,1,0,0.42,30.3,0.1,0,Other,R,0.111688383,4.78,-0.06,5.45,-776421.658119,-987203.114346
216,H10,4,3,1,0,0,11.2,0,0,Agri,R,0.068934301,2.56,0.03,5.22,-776143.174312,-987091.549256
217,H11,2,2,0,0,0.639,8.8,0,0,Agri,R,0.06121579,1.44,0.02,5.57,-775864.690504,-986979.984167
218,H12,5,4,1,1,0.114,22.1,0.1,0,Forest,R,0.032824938,2.47,0,5.71,-775753.125415,-987258.467974
219,H13,6,6,1,0,0,9,0,0,Agri,R,0.054152832,2.16,-0.03,5.66,-776031.609222,-987370.033063
220,H14,4,4,1,0,0,12.4,0,0,Agri,R,0.037858205,1.3,0.01,5.53,-775920.044133,-987648.516870
221,H15,14,6,4,6,3.247,10.4,0.7,6.8,Forest,R,0.02540732,3.94,-0.06,5.36,-775641.560325,-987536.951781
222,H16,4,4,0,0,0.26,16.7,0,0,Agri,R,0.035870341,1.44,0.02,5.69,-775808.479043,-987927.000678
223,H17,5,4,0,1,0.12,22.3,0,0,Agri,R,0.036539726,1.3,-0.02,5.97,-775696.913954,-988205.484485
224,H18,15,8,3,5,9.139,11.5,3.1,11.9,None,N,0.05747512,4.24,-0.06,5.12,-775585.348864,-988483.968292
225,H19,12,4,6,4,8.001,20.9,4.8,16.5,None,N,0.02969218,5.22,-0.08,5.04,-775863.832671,-988595.533381
226,H20,16,6,4,9,5.441,3.9,2.6,54.9,None,N,0.016034188,6.75,-0.04,4.63,-776142.316478,-988707.098471
227,H21,16,4,3,10,3.745,1.1,0.3,86.3,None,N,0.02869302,7.44,0.05,4.5,-776309.235196,-989097.147367
228,H22,12,3,4,8,4.667,3.4,1,79.1,None,N,0.022952604,7.12,0.01,4.56,-776030.751389,-988985.582278
229,H23,18,3,6,12,4.838,6,2,74.5,None,N,0.018164377,6.92,0,4.6,-775752.267582,-988874.017188
230,H24,13,2,3,10,6.578,2.7,3.5,77.6,None,N,0.018137267,4.64,0.03,4.97,-775473.783775,-988762.452099
